Artist Name,Artist Major,Project Title,Project Date,Project Genre,Project Description,Project Link,All Fields Filled,Date Validation,Link Validation,,Base URL,Last Update To Sheet
Martha Quirie,Art Practices & Psychology,Unraveled,2026-02-09,"Sculpey, Various Fabrics, Metal Wire, Fishing Line","The Spaces Between is a stained glass interpretation of the asteroid 16 Psyche, located within the main asteroid belt between Mars and Jupiter. Rather than depicting Psyche as a literal object in space, this work focuses on the often-overlooked elements that define it: distance, motion, orientation, and the space that holds them all.

The composition centers Psyche as a dark, metallic form suspended within layered fields of glass. Each solder line radiating across the panel represents measured heliocentric distance, expressed in astronomical units (AU). Where these lines intersect the asteroid, they mark Psyche’s position within the solar system, its relationship to the Sun and to neighboring planetary bodies. Distance, often reduced to numerical values, becomes a visible and structural element of the artwork.

Horizontal solder lines adjacent to the asteroid encode Psyche’s rotational direction. These lines reference the asteroid’s spin state and its extreme axial tilt of approximately 98 degrees, meaning Psyche rotates nearly on its side. This unusual orientation challenges conventional expectations of planetary motion and is translated here into a quiet but deliberate shift in visual balance. Psyche is not upright or aligned; it is a body defined by inclination and constant turning.

Historically used to divide and transmit light, the stained glass mirrors how scientific understanding is constructed through observation and interpretation. As light passes through the glass, the appearance of the piece changes with angle and time, echoing how Psyche itself is observed differently depending on perspective and position in space.

Rather than focusing on surface detail or speculative imagery, The Spaces Between emphasizes what surrounds Psyche and how it moves within that vastness. The work invites viewers to consider space not as emptiness, but as an active, defining presence, one that shapes celestial bodies as profoundly as mass or composition. Psyche, here, is understood through the distances it spans and the spaces that hold it.",https://psyche.ssl.berkeley.edu/gallery/unraveled-2/,,,,,,
Addison Mayhew,New Media Design,A Design For Discovery,2026-02-06,Vector Illustration in Adobe Illustrator,"“A Design for Discovery” is a digital vector illustration inspired by the Psyche mission and humanity’s enduring pursuit of knowledge. Rendered in a blueprint-based visual language, the piece frames space exploration not as distant science fiction, but as the result of deliberate human ingenuity, courage, and care. At its core, the work asks the viewer to consider how far intention and curiosity can carry us—and how something once thought unreachable can become tangible through planning, collaboration, and belief.

The blueprint aesthetic is central to the meaning of the piece. Blueprints represent the unseen labor behind discovery: the calculations, revisions, failures, and quiet moments of problem-solving that precede every monumental achievement. By presenting Psyche—a metal-rich asteroid believed to be the exposed core of a planetesimal—as a drafted, measured object, the illustration emphasizes that exploration is not accidental; it is engineered. Every line, label, and orbit is a testament to human persistence and our desire to understand the ancient structures that shaped our solar system.

The asteroid itself is treated as both a scientific subject and a symbolic “heart.” Psyche is billions of years old, a remnant from the earliest days of planetary formation, and exploring it represents an unprecedented step in planetary science. In this work, humanity’s spacecraft is shown carefully navigating this ancient body, reinforcing the idea that modern innovation is meeting primordial history. The contrast between precise human design and the raw, weathered surface of Psyche highlights the bravery required to approach the unknown with intention rather than fear.

Ultimately, “A Design for Discovery” aims to bridge the emotional gap between humanity and space exploration. By grounding the imagery in familiar design language—technical diagrams, measured annotations, and clean structural layouts—the piece reframes space as something achievable and human. Exploration becomes not an abstract concept reserved for experts, but a shared accomplishment made possible through curiosity, cooperation, and vision.

This project was created as a digital illustration using Adobe Illustrator, relying on vector linework, layered textures, and typographic structure to evoke the precision and clarity of engineering schematics. The clean geometry and controlled color palette reinforce the blueprint motif, while subtle surface detailing preserves the organic complexity of Psyche itself. This piece is both a celebration and a reminder: that humanity’s greatest achievements are built carefully, bravely, and with the belief that understanding the universe is not only possible—but worth pursuing.",https://psyche.ssl.berkeley.edu/gallery/a-design-for-discovery-2/,,,,,,
Lachan Morlan,Physics (Astronomy),The Spaces Between,2026-02-04,Stained Glass,"The Spaces Between is a stained glass interpretation of the asteroid 16 Psyche, located within the main asteroid belt between Mars and Jupiter. Rather than depicting Psyche as a literal object in space, this work focuses on the often-overlooked elements that define it: distance, motion, orientation, and the space that holds them all.

The composition centers Psyche as a dark, metallic form suspended within layered fields of glass. Each solder line radiating across the panel represents measured heliocentric distance, expressed in astronomical units (AU). Where these lines intersect the asteroid, they mark Psyche’s position within the solar system, its relationship to the Sun and to neighboring planetary bodies. Distance, often reduced to numerical values, becomes a visible and structural element of the artwork.

Horizontal solder lines adjacent to the asteroid encode Psyche’s rotational direction. These lines reference the asteroid’s spin state and its extreme axial tilt of approximately 98 degrees, meaning Psyche rotates nearly on its side. This unusual orientation challenges conventional expectations of planetary motion and is translated here into a quiet but deliberate shift in visual balance. Psyche is not upright or aligned; it is a body defined by inclination and constant turning.

Historically used to divide and transmit light, the stained glass mirrors how scientific understanding is constructed through observation and interpretation. As light passes through the glass, the appearance of the piece changes with angle and time, echoing how Psyche itself is observed differently depending on perspective and position in space.

Rather than focusing on surface detail or speculative imagery, The Spaces Between emphasizes what surrounds Psyche and how it moves within that vastness. The work invites viewers to consider space not as emptiness, but as an active, defining presence, one that shapes celestial bodies as profoundly as mass or composition. Psyche, here, is understood through the distances it spans and the spaces that hold it.",https://psyche.ssl.berkeley.edu/gallery/the-spaces-between-2/,,,,,,
Emerson Pappas,Chemistry & Studio Art,The Vessel,2026-02-02,"Mixed Media Screen Print with Wax Colored Pencils, Alcohol Markers, Acrylic Paint on Paper","“The Vessel” depicts the satellite Psyche on its journey through space and the SpaceX Falcon Heavy that got it there. It is a seven edition mixed media print consisting of black and orange screen-printed outlines colored in with wax pencils, alcohol markers, and acrylic paint on textured white paper. I wanted to highlight the satellite Psyche and the rocket that launched it, without which the mission to reach the asteroid Psyche would be impossible. Drawing inspiration from the official Psyche color palette and science fiction posters, I took creative liberties in the colorway of both vessels in each edition. I approached the screen printed image like a coloring book, filling in the design with wax colored pencils and alcohol markers for vibrant tones.",https://psyche.ssl.berkeley.edu/gallery/the-vessel/,,,,,,
Anne Wang,Economics & Art Theory and Practice,Right By You,2026-01-28,Digital Illustration,"A major event such as the Mars flyby deserves to be recognized and celebrated. I wanted to capture the flyby in the style of the video game “Hades”, which is about the main character trying to reach Mount Olympus with the help of other gods. I focused on the moment of the gravity assist (or Mars’ aid to Psyche) because it marks a milestone of the entire journey, and is something that the Platinum Class of Psyche Inspired is very lucky to witness.",https://psyche.ssl.berkeley.edu/gallery/right-by-you/,,,,,,
Riley Perry,Communication Design & Environmental Biology,Psyche 2026,2026-01-26,Graphic Design,"Psyche 2026 is a Psyche mission wall calendar designed to transform an often overlooked everyday object into a source of inspiration. While the Psyche mission spans many years, there are countless meaningful moments, not only from Psyche, but also from space science more broadly, that deserve to be remembered and revisited. My hope is that these highlights spark curiosity and motivate a sense of wonder throughout the year.

The piece is intended for Psyche Mission staff, NASA fans, and all space enthusiasts! Aimed to be more visually engaging than logistically functional, Psyche 2026 showcases key mission milestones alongside significant dates in NASA’s exploration history. The numbers ‘2026’ at the top of the calendar were built using shapes from the Psyche mission logo. Each digit is composed of these elements, creating a piece that ties the year directly to the mission’s visual identity. Designed to hang at a desk workspace, the calendar serves not just as a practical tool, but as a daily reminder of why we explore, why we care about this work, and how past achievements continue to inspire us.

2026 is an especially exciting year for Psyche. In May, the spacecraft will perform a gravity-assist flyby of Mars, using the planet’s motion and gravity to increase speed and adjust its trajectory without significant propellant use. Psyche will coast with its thrusters off for precise navigation, pass about 1,900–2,700 miles above Mars, and then continue on a 29-month journey toward the asteroid. This is an event I was eager to highlight in my calendar.

All highlighted dates and mission milestones were determined with help from the Psyche blog post archive (https://psyche.ssl.berkeley.edu/category/blog/), NASA’s blogs on the Psyche mission (https://science.nasa.gov/blogs/psyche/), and NASA’s official timeline (https://www.nasa.gov/specials/timeline/). I was intentional to incorporate dates that may be personally meaningful to Psyche or the mission team, such as when key components of the spacecraft were assembled, the first day of testing, and days the mission team has mentioned they will remember forever!",https://psyche.ssl.berkeley.edu/gallery/psyche-2026-2/,,,,,,
Jacquelyn Sublett,Ceramics & Physics,Asteroid,2026-01-20,"Stoneware, Blue/Bronze and Forbes Midnight Blue Raku Glaze","“Asteroid” is a ceramic spherical form made from high-fire clay and finished with a blue-bronze raku glaze. The piece is designed to evoke the surface of the asteroid Psyche, featuring a matte black exterior and a metallic, textured central area. The glaze settles primarily into the recessed areas of the texture, echoing how Psyche’s metal-rich materials may be more concentrated within its cratered surfaces.",https://psyche.ssl.berkeley.edu/gallery/asteroid/,,,,,,
Minh Nguyen,Biomedical Engineering,Crater,2026-01-16,"Ceramics, Acrylic Paint","This piece is part of a set of 2, with each demonstrating the material make up of the asteroid. The plate is modeled after the bigger crater on the asteroid. Since Psyche is 30-60% metal, the ceramic plate, representing the rock make up would be half of the total proportion. The two pieces would demonstrate the metal rich composition of the piece. The cold undertone was inspired by the artistic rendition of Psyche, and the light purple dry brushing emphasizes the surface textures of the impact crater.",https://psyche.ssl.berkeley.edu/gallery/crater-2/,,,,,,
Caitlin Richard,Biological Sciences & Art,Gravity Assist!,2026-01-14,"Prismacolor Colored Pencil on Strathmore 400 Series Drawing Paper, 18 in. x 24 in.","Gravity Assist! is a hand-illustrated poster that draws on the artist’s background in album and show poster design, celebrating NASA’s Psyche mission during its May 2026 Mars flyby and gravity assist. This gravity assist maneuver is often referred to as a “slingshot into space.” Official Psyche Mission patch colors highlight the spacecraft, Mars, and Asteroid 16 Psyche, while a deep navy background and mustard lettering draw inspiration from 1960s sci-fi movie posters and early 20th-century Art Nouveau advertisements.

Created with Prismacolor pencils on Strathmore paper, the artist intentionally incorporated the rough wooden texture of her studio walls, resulting in both organic and angular patterns throughout the piece. These deliberate wood-grain textures provide a tactile reference to Earth and the human effort behind space exploration, paying tribute to the artisan trades, careful design, and tireless iterative process that make missions like Psyche possible.",https://psyche.ssl.berkeley.edu/gallery/gravity-assist/,,,,,,
Tommy Desjardins,3D Digital Design,Standing on Psyche,2026-01-12,3D Digital Art Displayed on a Physical Projector Wall,"Standing on Psyche invites visitors to step onto the surface of the distant metallic asteroid Psyche. Projected across a panoramic wall, visitors see the mission from an entirely new perspective. This interactive environment recreates Psyche’s rugged landscape and the orbiting spacecraft exploring it. The exhibit combines many working theories of what Psyche’s surface might look like. This artistic rendering of the asteroid shows a gravel-like regolith covering solid rocky ground. Craters from ancient impacts with other asteroids form steep valleys, and occasionally reveal bright patches of raw metal buried just beneath the rocky surface. The immersive display uses Unreal Engine’s real-time rendering technology to simulate Psyche’s extreme environment. Low gravity, stark lighting, and the subtle glint of metal-rich terrain are simulated in a realistic game world. This is part one of a long term project. Future development will be done to include the following details and features. The exhibit is also designed for interaction. Through their mobile devices, visitors can connect directly to the simulation, using their phone’s sensors to act as scientific tools. For example, a flashlight, scanner, or spectrometer. Each visitor’s input updates simultaneously on the wall and contributes to the collective experience. Standing on Psyche is part of NASA’s ongoing effort to inspire curiosity about our solar system and to share the excitement of exploring worlds beyond Earth. It showcases how modern visualization and interactive design can bring NASA’s missions closer to the public, transforming data and research into a tangible experience.",https://psyche.ssl.berkeley.edu/gallery/standing-on-psyche/,,,,,,
